(YYYY-MM-DD), rate (No Commas), mandi/city/trader
2023-12-14, 5080, Latur (M.H.)
2023-12-15, 5080, Latur (M.H.)
2023-12-16, 5080, Latur (M.H.)
2023-12-18, 5040, Latur (M.H.)
2023-12-19, 5060, Latur (M.H.)
2023-12-20, 5020, Latur (M.H.)
2023-12-21, 4980, Latur (M.H.)
2023-12-22, 4960, Latur (M.H.)
2023-12-23, 5000, Latur (M.H.)
2023-12-25, 4980, Latur (M.H.)
2023-12-26, 4980, Latur (M.H.)
2023-12-27, 4980, Latur (M.H.)
2023-12-28, 5000, Latur (M.H.)
2023-12-29, 5020, Latur (M.H.)
2023-12-30, 5000, Latur (M.H.)
2024-01-01, 4960, Latur (M.H.)
2024-01-02, 4980, Latur (M.H.)
2024-01-03, 4920, Latur (M.H.)
2024-01-04, 4880, Latur (M.H.)
2024-01-05, 4910, Latur (M.H.)
2024-01-06, 4910, Latur (M.H.)
2024-01-08, 4900, Latur (M.H.)
2024-01-09, 4930, Latur (M.H.)
2024-01-10, 4930, Latur (M.H.)
2024-01-11, 4950, Latur (M.H.)
2024-01-12, 4980, Latur (M.H.)
2024-01-13, 4950, Latur (M.H.)
2024-01-15, 4920, Latur (M.H.)
2024-01-16, 4920, Latur (M.H.)
2024-01-17, 4900, Latur (M.H.)
2024-01-18, 4900, Latur (M.H.)
2024-01-19, 4900, Latur (M.H.)
2024-01-20, 4900, Latur (M.H.)
2024-01-22, 4850, Latur (M.H.)
2024-01-23, 4860, Latur (M.H.)
2024-01-24, 4880, Latur (M.H.)
2024-01-25, 4840, Latur (M.H.)
2024-01-27, 4760, Latur (M.H.)
2024-01-29, 4660, Latur (M.H.)
2024-01-30, 4670, Latur (M.H.)
2024-01-31, 4680, Latur (M.H.)
2024-02-01, 4730, Latur (M.H.)
2024-02-02, 4750, Latur (M.H.)
2024-02-03, 4730, Latur (M.H.)
2024-02-05, 4750, Latur (M.H.)
2024-02-06, 4780, Latur (M.H.)
2024-02-07, 4780, Latur (M.H.)
2024-02-08, 4760, Latur (M.H.)
2024-02-09, 4800, Latur (M.H.)
2024-02-10, 4780, Latur (M.H.)
2024-02-12, 4750, Latur (M.H.)
2024-02-13, 4750, Latur (M.H.)
2024-02-14, 4750, Latur (M.H.)
2024-02-15, 4680, Latur (M.H.)
2024-02-16, 4660, Latur (M.H.)
2024-02-17, 4660, Latur (M.H.)
2024-02-19, 4700, Latur (M.H.)
2024-02-20, 4720, Latur (M.H.)
2024-02-21, 4750, Latur (M.H.)
2024-02-22, 4760, Latur (M.H.)
2024-02-23, 4730, Latur (M.H.)
2024-02-24, 4750, Latur (M.H.)
2024-02-26, 4760, Latur (M.H.)
2024-02-27, 4750, Latur (M.H.)
2024-02-28, 4760, Latur (M.H.)
2024-02-29, 4730, Latur (M.H.)
2024-03-01, 4730, Latur (M.H.)
2024-03-02, 4710, Latur (M.H.)
2024-03-04, 4670, Latur (M.H.)
2024-03-05, 4670, Latur (M.H.)
2024-03-06, 4690, Latur (M.H.)
2024-03-07, 4690, Latur (M.H.)
2024-03-08, 4700, Latur (M.H.)
2024-03-09, 4680, Latur (M.H.)
2024-03-11, 4680, Latur (M.H.)
2024-03-12, 4680, Latur (M.H.)
2024-03-13, 4690, Latur (M.H.)
2024-03-14, 4750, Latur (M.H.)
2024-03-15, 4750, Latur (M.H.)
2024-03-16, 4750, Latur (M.H.)
2024-03-18, 4750, Latur (M.H.)
2024-03-19, 4750, Latur (M.H.)
2024-03-20, 4730, Latur (M.H.)
2024-03-21, 4730, Latur (M.H.)
2024-03-22, 4710, Latur (M.H.)
2024-03-23, 4690, Latur (M.H.)
2024-03-26, 4680, Latur (M.H.)
2024-03-27, 4660, Latur (M.H.)
2024-03-28, 4640, Latur (M.H.)
2024-03-29, 4660, Latur (M.H.)
2024-04-01, 4770, Latur (M.H.)
2024-04-02, 4760, Latur (M.H.)
2024-04-03, 4780, Latur (M.H.)
2024-04-04, 4800, Latur (M.H.)
2024-04-05, 4800, Latur (M.H.)
2024-04-06, 4870, Latur (M.H.)
2024-04-08, 4870, Latur (M.H.)
2024-04-09, 5001, Latur (M.H.)
2024-04-10, 4900, Latur (M.H.)
2024-04-11, 4900, Latur (M.H.)
2024-04-12, 4850, Latur (M.H.)
2024-04-13, 4870, Latur (M.H.)
2024-04-15, 4900, Latur (M.H.)
2024-04-16, 4880, Latur (M.H.)
2024-04-17, 4850, Latur (M.H.)
2024-04-18, 4840, Latur (M.H.)
2024-04-19, 4780, Latur (M.H.)
2024-04-20, 4800, Latur (M.H.)
2024-04-22, 4820, Latur (M.H.)
2024-04-23, 4820, Latur (M.H.)
2024-04-24, 4820, Latur (M.H.)
2024-04-25, 4780, Latur (M.H.)
2024-04-26, 4780, Latur (M.H.)
2024-04-27, 4760, Latur (M.H.)
2024-04-29, 4740, Latur (M.H.)
2024-04-30, 4740, Latur (M.H.)
2024-05-02, 4740, Latur (M.H.)
2024-05-03, 4780, Latur (M.H.)
2024-05-04, 4810, Latur (M.H.)
2024-05-06, 4850, Latur (M.H.)
2024-05-07, 4890, Latur (M.H.)
2024-05-08, 4890, Latur (M.H.)
2024-05-09, 4870, Latur (M.H.)
2024-05-10, 4830, Latur (M.H.)
2024-05-11, 4850, Latur (M.H.)
2024-05-13, 4850, Latur (M.H.)
2024-05-14, 4810, Latur (M.H.)
2024-05-15, 4810, Latur (M.H.)
2024-05-16, 4810, Latur (M.H.)
2024-05-17, 4790, Latur (M.H.)
2024-05-18, 4830, Latur (M.H.)
2024-05-20, 4810, Latur (M.H.)
2024-05-21, 4810, Latur (M.H.)
2024-05-22, 4810, Latur (M.H.)
2024-05-23, 4830, Latur (M.H.)
2024-05-24, 4830, Latur (M.H.)
2024-05-25, 4770, Latur (M.H.)
2024-05-27, 4740, Latur (M.H.)
2024-05-28, 4770, Latur (M.H.)
2024-05-29, 4770, Latur (M.H.)
2024-05-30, 4740, Latur (M.H.)
2024-05-31, 4750, Latur (M.H.)
2024-06-01, 4750, Latur (M.H.)
2024-06-03, 4750, Latur (M.H.)
2024-06-04, 4730, Latur (M.H.)
2024-06-05, 4730, Latur (M.H.)
2024-06-06, 4720, Latur (M.H.)
2024-06-07, 4811, Latur (M.H.)
2024-06-08, 4720, Latur (M.H.)
2024-06-10, 4680, Latur (M.H.)
2024-06-11, 4650, Latur (M.H.)
2024-06-12, 4670, Latur (M.H.)
2024-06-13, 4670, Latur (M.H.)
2024-06-14, 4670, Latur (M.H.)
2024-06-15, 4670, Latur (M.H.)
2024-06-17, 4690, Latur (M.H.)
2024-06-18, 4690, Latur (M.H.)
2024-06-19, 4680, Latur (M.H.)
2024-06-20, 4700, Latur (M.H.)
2024-06-21, 4730, Latur (M.H.)
2024-06-22, 4750, Latur (M.H.)
2024-06-24, 4800, Latur (M.H.)
2024-06-25, 4780, Latur (M.H.)
2024-06-26, 4760, Latur (M.H.)
2024-06-27, 4750, Latur (M.H.)
2024-06-28, 4720, Latur (M.H.)
2024-06-29, 4720, Latur (M.H.)
2024-07-01, 4740, Latur (M.H.)
2024-07-02, 4760, Latur (M.H.)
2024-07-03, 4730, Latur (M.H.)
2024-07-04, 4740, Latur (M.H.)
2024-07-05, 4760, Latur (M.H.)
2024-07-06, 4750, Latur (M.H.)
2024-07-08, 4730, Latur (M.H.)
2024-07-09, 4700, Latur (M.H.)
2024-07-10, 4680, Latur (M.H.)
2024-07-11, 4700, Latur (M.H.)
2024-07-12, 4720, Latur (M.H.)
2024-07-13, 4720, Latur (M.H.)
2024-07-15, 4720, Latur (M.H.)
2024-07-16, 4710, Latur (M.H.)
2024-07-17, 4710, Latur (M.H.)
2024-07-18, 4710, Latur (M.H.)
2024-07-19, 4710, Latur (M.H.)
2024-07-20, 4680, Latur (M.H.)
2024-07-22, 4680, Latur (M.H.)
2024-07-23, 4660, Latur (M.H.)
2024-07-24, 4660, Latur (M.H.)
2024-07-25, 4640, Latur (M.H.)
2024-07-26, 4650, Latur (M.H.)
2024-07-27, 4600, Latur (M.H.)
2024-07-29, 4570, Latur (M.H.)
2024-07-30, 4550, Latur (M.H.)
2024-07-31, 4510, Latur (M.H.)
2024-08-01, 4550, Latur (M.H.)
2024-08-02, 4570, Latur (M.H.)
2024-08-03, 4600, Latur (M.H.)
2024-08-05, 4570, Latur (M.H.)
2024-08-06, 4570, Latur (M.H.)
2024-08-07, 4570, Latur (M.H.)
2024-08-08, 4570, Latur (M.H.)
2024-08-09, 4550, Latur (M.H.)
2024-08-10, 4550, Latur (M.H.)
2024-08-12, 4570, Latur (M.H.)
2024-08-13, 4520, Latur (M.H.)
2024-08-14, 4520, Latur (M.H.)
2024-08-16, 4520, Latur (M.H.)
2024-08-17, 4500, Latur (M.H.)
2024-08-19, 4520, Latur (M.H.)
2024-08-20, 4520, Latur (M.H.)
2024-08-21, 4540, Latur (M.H.)
2024-08-22, 4560, Latur (M.H.)
2024-08-23, 4600, Latur (M.H.)
2024-08-24, 4640, Latur (M.H.)
2024-08-26, 4640, Latur (M.H.)
2024-08-27, 4620, Latur (M.H.)
2024-08-28, 4660, Latur (M.H.)
2024-08-29, 4700, Latur (M.H.)
2024-08-30, 4780, Latur (M.H.)
2024-08-31, 4810, Latur (M.H.)
2024-09-02, 4750, Latur (M.H.)
2024-09-03, 4800, Latur (M.H.)
2024-09-04, 4800, Latur (M.H.)
2024-09-05, 4750, Latur (M.H.)
2024-09-06, 5001, Latur (M.H.)
2024-09-07, 4770, Latur (M.H.)
2024-09-09, 4700, Latur (M.H.)
2024-09-10, 4740, Latur (M.H.)
2024-09-11, 4800, Latur (M.H.)
2024-09-12, 4900, Latur (M.H.)
2024-09-13, 4900, Latur (M.H.)
2024-09-14, 4960, Latur (M.H.)
2024-09-16, 4960, Latur (M.H.)
2024-09-17, 4860, Latur (M.H.)
2024-09-18, 4940, Latur (M.H.)
2024-09-19, 4940, Latur (M.H.)
2024-09-20, 4930, Latur (M.H.)
2024-09-21, 4910, Latur (M.H.)
2024-09-23, 4910, Latur (M.H.)
2024-09-24, 4910, Latur (M.H.)
2024-09-25, 4910, Latur (M.H.)
2024-09-26, 4920, Latur (M.H.)
2024-09-27, 4860, Latur (M.H.)
2024-09-28, 4920, Latur (M.H.)
2024-09-30, 4780, Latur (M.H.)
2024-10-01, 4760, Latur (M.H.)
2024-10-03, 4750, Latur (M.H.)
2024-10-04, 4750, Latur (M.H.)
2024-10-05, 4680, Latur (M.H.)
2024-10-07, 4620, Latur (M.H.)
2024-10-08, 4680, Latur (M.H.)
2024-10-09, 4660, Latur (M.H.)
2024-10-10, 4740, Latur (M.H.)
2024-10-11, 4820, Latur (M.H.)
2024-10-14, 4730, Latur (M.H.)
2024-10-15, 4710, Latur (M.H.)
